famiglia,ipotesi,evento,carburante,test,fonte,n_post,n_pre,n_eff,rho_hat,mu_2019,mean_post,delta,t_stat,p_value,cautela,paese_controllo,shock_usato,shock_tipo,wholesale_tipo,n_obs_panel,lags_NW,n_IT_pre,n_IT_post,PTA_pvalue,PTA_non_rigettata,delta_DiD_EUR_L,SE_NW,CI_95_low,CI_95_high,p_value_twosided,R2_OLS,H0,interpretation,BH_reject,p_BH_adj
A,H0_i,Ucraina (Feb 2022),Benzina,HAC_t,HAC_t_Ucraina (Feb 2022)_Benzina,13.0,52.0,2.7,0.653,0.16825,0.28293,0.11468,4.4268,0.030626,True,,,,,,,,,,,,,,,,,,,True,0.040834666666666665
A,H0_i,Ucraina (Feb 2022),Benzina,MannWhitney,MannWhitney_Ucraina (Feb 2022)_Benzina,13.0,52.0,,,0.16825,0.28293,0.11468,,1e-06,False,,,,,,,,,,,,,,,,,,,True,4e-06
A,H0_i,Ucraina (Feb 2022),Diesel,HAC_t,HAC_t_Ucraina (Feb 2022)_Diesel,13.0,52.0,2.9,0.637,0.14873,0.22288,0.07415,2.1874,0.084107,True,,,,,,,,,,,,,,,,,,,False,0.084107
A,H0_i,Ucraina (Feb 2022),Diesel,MannWhitney,MannWhitney_Ucraina (Feb 2022)_Diesel,13.0,52.0,,,0.14873,0.22288,0.07415,,0.000159,False,,,,,,,,,,,,,,,,,,,True,0.000318
A,H0_i,Iran-Israele (Giu 2025),Benzina,HAC_t,HAC_t_Iran-Israele (Giu 2025)_Benzina,2.0,52.0,,,0.16825,,,,,True,,,,,,,,,,,,,,,,,,,False,
A,H0_i,Iran-Israele (Giu 2025),Benzina,MannWhitney,MannWhitney_Iran-Israele (Giu 2025)_Benzina,2.0,52.0,,,0.16825,0.19875,0.0305,,,False,,,,,,,,,,,,,,,,,,,False,
A,H0_i,Iran-Israele (Giu 2025),Diesel,HAC_t,HAC_t_Iran-Israele (Giu 2025)_Diesel,2.0,52.0,,,0.14873,,,,,True,,,,,,,,,,,,,,,,,,,False,
A,H0_i,Iran-Israele (Giu 2025),Diesel,MannWhitney,MannWhitney_Iran-Israele (Giu 2025)_Diesel,2.0,52.0,,,0.14873,0.14033,-0.00839,,,False,,,,,,,,,,,,,,,,,,,False,
B,H0_ii,Ucraina (Feb 2022),Benzina,HAC_t,HAC_t_Ucraina (Feb 2022)_Benzina_jump,13.0,39.0,2.8,0.642,,0.31125,0.10918,3.8835,0.034585,True,,,,,,,,,,,,,,,,,,,False,0.081294
B,H0_ii,Ucraina (Feb 2022),Benzina,MannWhitney,MannWhitney_Ucraina (Feb 2022)_Benzina_jump,13.0,39.0,,,,0.31125,0.10919,,4.2e-05,False,,,,,,,,,,,,,,,,,,,True,0.000252
B,H0_ii,Ucraina (Feb 2022),Diesel,HAC_t,HAC_t_Ucraina (Feb 2022)_Diesel_jump,14.0,38.0,2.4,0.711,,0.23364,0.0477,1.2456,0.192517,True,,,,,,,,,,,,,,,,,,,False,0.28877549999999996
B,H0_ii,Ucraina (Feb 2022),Diesel,MannWhitney,MannWhitney_Ucraina (Feb 2022)_Diesel_jump,14.0,38.0,,,,0.23364,0.0477,,0.040647,False,,,,,,,,,,,,,,,,,,,False,0.081294
B,H0_ii,Iran-Israele (Giu 2025),Benzina,HAC_t,HAC_t_Iran-Israele (Giu 2025)_Benzina_jump,4.0,39.0,12.4,-0.511,,0.25056,-0.00052,-0.0775,0.530199,False,,,,,,,,,,,,,,,,,,,False,0.530199
B,H0_ii,Iran-Israele (Giu 2025),Benzina,MannWhitney,MannWhitney_Iran-Israele (Giu 2025)_Benzina_jump,4.0,39.0,,,,0.25056,-0.00052,,0.524107,False,,,,,,,,,,,,,,,,,,,False,0.530199
B,H0_ii,Iran-Israele (Giu 2025),Diesel,HAC_t,HAC_t_Iran-Israele (Giu 2025)_Diesel_jump,0.0,43.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,False,
B,H0_ii,Iran-Israele (Giu 2025),Diesel,MannWhitney,MannWhitney_Iran-Israele (Giu 2025)_Diesel_jump,0.0,43.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,
C,H0_iii,Ucraina (Feb 2022),Benzina,,DiD_Ucraina (Feb 2022)_Germania_Benzina,,,,,,,,-1.701,0.955572,,Germania,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.1846,True,-0.02121,0.01246,-0.04564,0.00322,0.088856,0.453,non rifiutata,δ≤0 n.s.: IT non cresce più di Germania,False,1.0
C,H0_iii,Ucraina (Feb 2022),Diesel,,DiD_Ucraina (Feb 2022)_Germania_Diesel,,,,,,,,-3.545,0.999804,,Germania,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.7359,True,-0.0553,0.0156,-0.08587,-0.02472,0.000393,0.497,non rifiutata,δ≤0 n.s.: IT non cresce più di Germania,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Benzina,,DiD_Iran-Israele (Giu 2025)_Germania_Benzina,,,,,,,,-0.122,0.548538,,Germania,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.1155,True,-0.00069,0.00562,-0.01171,0.01033,0.902924,0.19,non rifiutata,δ≤0 n.s.: IT non cresce più di Germania,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Diesel,,DiD_Iran-Israele (Giu 2025)_Germania_Diesel,,,,,,,,-1.535,0.937568,,Germania,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.5392,True,-0.00865,0.00563,-0.01969,0.0024,0.124865,0.062,non rifiutata,δ≤0 n.s.: IT non cresce più di Germania,False,1.0
C,H0_iii,Ucraina (Feb 2022),Benzina,,DiD_Ucraina (Feb 2022)_Svezia_Benzina,,,,,,,,-0.548,0.708243,,Svezia,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.2029,True,-0.00968,0.01765,-0.04428,0.02492,0.583514,0.37,non rifiutata,δ≤0 n.s.: IT non cresce più di Svezia,False,1.0
C,H0_iii,Ucraina (Feb 2022),Diesel,,DiD_Ucraina (Feb 2022)_Svezia_Diesel,,,,,,,,-6.215,1.0,,Svezia,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.6019,True,-0.12073,0.01942,-0.1588,-0.08266,0.0,0.842,non rifiutata,δ≤0 n.s.: IT non cresce più di Svezia,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Benzina,,DiD_Iran-Israele (Giu 2025)_Svezia_Benzina,,,,,,,,0.602,0.273677,,Svezia,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.1296,True,0.00403,0.0067,-0.00911,0.01717,0.547354,0.08,non rifiutata,δ>0 n.s.: differenza IT vs Svezia non distinguibile da zero,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Diesel,,DiD_Iran-Israele (Giu 2025)_Svezia_Diesel,,,,,,,,0.673,0.250452,,Svezia,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.1389,True,0.00508,0.00755,-0.00972,0.01988,0.500904,0.724,non rifiutata,δ>0 n.s.: differenza IT vs Svezia non distinguibile da zero,False,1.0
C,H0_iii,Ucraina (Feb 2022),Benzina,,DiD_Ucraina (Feb 2022)_Paesi Bassi_Benzina,,,,,,,,0.744,0.228355,,Paesi Bassi,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.8221,True,0.0098,0.01317,-0.01601,0.03562,0.456709,0.415,non rifiutata,δ>0 n.s.: differenza IT vs Paesi Bassi non distinguibile da zero,False,1.0
C,H0_iii,Ucraina (Feb 2022),Diesel,,DiD_Ucraina (Feb 2022)_Paesi Bassi_Diesel,,,,,,,,-2.211,0.986495,,Paesi Bassi,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.7626,True,-0.0278,0.01257,-0.05243,-0.00316,0.027009,0.375,non rifiutata,δ≤0 n.s.: IT non cresce più di Paesi Bassi,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Benzina,,DiD_Iran-Israele (Giu 2025)_Paesi Bassi_Benzina,,,,,,,,-4.811,0.999999,,Paesi Bassi,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.0987,True,-0.03504,0.00728,-0.04932,-0.02077,2e-06,0.705,non rifiutata,δ≤0 n.s.: IT non cresce più di Paesi Bassi,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Diesel,,DiD_Iran-Israele (Giu 2025)_Paesi Bassi_Diesel,,,,,,,,-5.232,1.0,,Paesi Bassi,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.6673,True,-0.04747,0.00907,-0.06525,-0.02968,0.0,0.788,non rifiutata,δ≤0 n.s.: IT non cresce più di Paesi Bassi,False,1.0
C,H0_iii,Ucraina (Feb 2022),Benzina,,DiD_Ucraina (Feb 2022)_Belgio_Benzina,,,,,,,,-0.105,0.54197,,Belgio,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.2555,True,-0.00122,0.0116,-0.02397,0.02152,0.91606,0.292,non rifiutata,δ≤0 n.s.: IT non cresce più di Belgio,False,1.0
C,H0_iii,Ucraina (Feb 2022),Diesel,,DiD_Ucraina (Feb 2022)_Belgio_Diesel,,,,,,,,-1.145,0.873913,,Belgio,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.5578,True,-0.01253,0.01094,-0.03398,0.00892,0.252175,0.159,non rifiutata,δ≤0 n.s.: IT non cresce più di Belgio,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Benzina,,DiD_Iran-Israele (Giu 2025)_Belgio_Benzina,,,,,,,,-0.576,0.71774,,Belgio,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.5412,True,-0.00318,0.00552,-0.01401,0.00764,0.56452,0.125,non rifiutata,δ≤0 n.s.: IT non cresce più di Belgio,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Diesel,,DiD_Iran-Israele (Giu 2025)_Belgio_Diesel,,,,,,,,-2.617,0.995562,,Belgio,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.5801,True,-0.01485,0.00567,-0.02597,-0.00373,0.008876,0.272,non rifiutata,δ≤0 n.s.: IT non cresce più di Belgio,False,1.0
C,H0_iii,Ucraina (Feb 2022),Benzina,,DiD_Ucraina (Feb 2022)_Danimarca_Benzina,,,,,,,,0.677,0.249217,,Danimarca,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.0779,True,0.00964,0.01425,-0.01828,0.03757,0.498434,0.516,non rifiutata,δ>0 n.s.: differenza IT vs Danimarca non distinguibile da zero,False,1.0
C,H0_iii,Ucraina (Feb 2022),Diesel,,DiD_Ucraina (Feb 2022)_Danimarca_Diesel,,,,,,,,1.782,0.037363,,Danimarca,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.3151,True,0.02285,0.01282,-0.00228,0.04799,0.074726,0.324,RIFIUTATA,δ>0 sign.: IT > Danimarca post-shock — specificità IT,False,0.523082
C,H0_iii,Iran-Israele (Giu 2025),Benzina,,DiD_Iran-Israele (Giu 2025)_Danimarca_Benzina,,,,,,,,-1.687,0.954235,,Danimarca,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.0078,False,-0.01255,0.00744,-0.02713,0.00203,0.091531,0.898,non rifiutata,δ≤0 n.s.: IT non cresce più di Danimarca,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Diesel,,DiD_Iran-Israele (Giu 2025)_Danimarca_Diesel,,,,,,,,-1.841,0.967173,,Danimarca,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.9197,True,-0.01533,0.00833,-0.03165,0.00099,0.065654,0.727,non rifiutata,δ≤0 n.s.: IT non cresce più di Danimarca,False,1.0
C,H0_iii,Ucraina (Feb 2022),Benzina,,DiD_Ucraina (Feb 2022)_Finlandia_Benzina,,,,,,,,-0.814,0.792123,,Finlandia,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.1754,True,-0.01017,0.0125,-0.03466,0.01432,0.415755,0.322,non rifiutata,δ≤0 n.s.: IT non cresce più di Finlandia,False,1.0
C,H0_iii,Ucraina (Feb 2022),Diesel,,DiD_Ucraina (Feb 2022)_Finlandia_Diesel,,,,,,,,-2.435,0.992548,,Finlandia,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.5791,True,-0.03295,0.01353,-0.05948,-0.00642,0.014904,0.486,non rifiutata,δ≤0 n.s.: IT non cresce più di Finlandia,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Benzina,,DiD_Iran-Israele (Giu 2025)_Finlandia_Benzina,,,,,,,,-0.043,0.517189,,Finlandia,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.0022,False,-0.00058,0.01334,-0.02673,0.02558,0.965622,0.219,non rifiutata,δ≤0 n.s.: IT non cresce più di Finlandia,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Diesel,,DiD_Iran-Israele (Giu 2025)_Finlandia_Diesel,,,,,,,,2.121,0.016955,,Finlandia,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.9305,True,0.03295,0.01553,0.0025,0.06339,0.03391,0.549,RIFIUTATA,δ>0 sign.: IT > Finlandia post-shock — specificità IT,False,0.47474000000000005
C,H0_iii,Ucraina (Feb 2022),Benzina,,DiD_Ucraina (Feb 2022)_Austria_Benzina,,,,,,,,-0.97,0.833867,,Austria,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.8783,True,-0.01228,0.01267,-0.03712,0.01255,0.332267,0.234,non rifiutata,δ≤0 n.s.: IT non cresce più di Austria,False,1.0
C,H0_iii,Ucraina (Feb 2022),Diesel,,DiD_Ucraina (Feb 2022)_Austria_Diesel,,,,,,,,-0.87,0.807808,,Austria,2022-01-03,MCMC,futures,206.0,5.0,51.0,52.0,0.9781,True,-0.01104,0.01269,-0.03592,0.01384,0.384385,0.12,non rifiutata,δ≤0 n.s.: IT non cresce più di Austria,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Benzina,,DiD_Iran-Israele (Giu 2025)_Austria_Benzina,,,,,,,,-2.644,0.995901,,Austria,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.0483,False,-0.01041,0.00394,-0.01812,-0.00269,0.008197,0.565,non rifiutata,δ≤0 n.s.: IT non cresce più di Austria,False,1.0
C,H0_iii,Iran-Israele (Giu 2025),Diesel,,DiD_Iran-Israele (Giu 2025)_Austria_Diesel,,,,,,,,0.106,0.457844,,Austria,2025-04-28,MCMC,futures,210.0,5.0,69.0,36.0,0.2262,True,0.0006,0.00568,-0.01054,0.01174,0.915689,0.072,non rifiutata,δ>0 n.s.: differenza IT vs Austria non distinguibile da zero,False,1.0
