fonte,tipo,descrizione,p_value,split_type,evento,carburante
Welch_t_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0001,shock_hard,Ucraina (Feb 2022),Benzina
MannWhitney_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0001,shock_hard,Ucraina (Feb 2022),Benzina
BlockPerm_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0141,shock_hard,Ucraina (Feb 2022),Benzina
HAC_Ucraina (Feb 2022)_Benzina_shock_hard,confirmatory,Ucraina (Feb 2022) | Benzina | split=shock_hard,0.0862,shock_hard,Ucraina (Feb 2022),Benzina
Welch_t_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_price,0.0,tau_price,Ucraina (Feb 2022),Benzina
MannWhitney_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_price,0.0,tau_price,Ucraina (Feb 2022),Benzina
BlockPerm_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_price,0.1265,tau_price,Ucraina (Feb 2022),Benzina
HAC_Ucraina (Feb 2022)_Benzina_tau_price,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_price,0.1782,tau_price,Ucraina (Feb 2022),Benzina
Welch_t_Ucraina (Feb 2022)_Benzina_tau_margin,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_margin,0.0,tau_margin,Ucraina (Feb 2022),Benzina
MannWhitney_Ucraina (Feb 2022)_Benzina_tau_margin,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_margin,0.0,tau_margin,Ucraina (Feb 2022),Benzina
BlockPerm_Ucraina (Feb 2022)_Benzina_tau_margin,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_margin,0.009,tau_margin,Ucraina (Feb 2022),Benzina
HAC_Ucraina (Feb 2022)_Benzina_tau_margin,confirmatory,Ucraina (Feb 2022) | Benzina | split=tau_margin,0.0388,tau_margin,Ucraina (Feb 2022),Benzina
Welch_t_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0008,shock_hard,Ucraina (Feb 2022),Diesel
MannWhitney_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0,shock_hard,Ucraina (Feb 2022),Diesel
BlockPerm_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0359,shock_hard,Ucraina (Feb 2022),Diesel
HAC_Ucraina (Feb 2022)_Diesel_shock_hard,confirmatory,Ucraina (Feb 2022) | Diesel | split=shock_hard,0.0975,shock_hard,Ucraina (Feb 2022),Diesel
Welch_t_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_price,0.0009,tau_price,Ucraina (Feb 2022),Diesel
MannWhitney_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_price,0.0003,tau_price,Ucraina (Feb 2022),Diesel
BlockPerm_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_price,0.3524,tau_price,Ucraina (Feb 2022),Diesel
HAC_Ucraina (Feb 2022)_Diesel_tau_price,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_price,0.4957,tau_price,Ucraina (Feb 2022),Diesel
Welch_t_Ucraina (Feb 2022)_Diesel_tau_margin,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_margin,0.0,tau_margin,Ucraina (Feb 2022),Diesel
MannWhitney_Ucraina (Feb 2022)_Diesel_tau_margin,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_margin,0.0,tau_margin,Ucraina (Feb 2022),Diesel
BlockPerm_Ucraina (Feb 2022)_Diesel_tau_margin,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_margin,0.0064,tau_margin,Ucraina (Feb 2022),Diesel
HAC_Ucraina (Feb 2022)_Diesel_tau_margin,confirmatory,Ucraina (Feb 2022) | Diesel | split=tau_margin,0.0137,tau_margin,Ucraina (Feb 2022),Diesel
Welch_t_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Benzina
MannWhitney_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Benzina
BlockPerm_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.7255,shock_hard,Iran-Israele (Giu 2025),Benzina
HAC_Iran-Israele (Giu 2025)_Benzina_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=shock_hard,0.5259,shock_hard,Iran-Israele (Giu 2025),Benzina
Welch_t_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Benzina
MannWhitney_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Benzina
BlockPerm_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.9149,tau_price,Iran-Israele (Giu 2025),Benzina
HAC_Iran-Israele (Giu 2025)_Benzina_tau_price,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_price,0.0666,tau_price,Iran-Israele (Giu 2025),Benzina
Welch_t_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.0,tau_margin,Iran-Israele (Giu 2025),Benzina
MannWhitney_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.0,tau_margin,Iran-Israele (Giu 2025),Benzina
BlockPerm_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.928,tau_margin,Iran-Israele (Giu 2025),Benzina
HAC_Iran-Israele (Giu 2025)_Benzina_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Benzina | split=tau_margin,0.0575,tau_margin,Iran-Israele (Giu 2025),Benzina
Welch_t_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Diesel
MannWhitney_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0,shock_hard,Iran-Israele (Giu 2025),Diesel
BlockPerm_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.9185,shock_hard,Iran-Israele (Giu 2025),Diesel
HAC_Iran-Israele (Giu 2025)_Diesel_shock_hard,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=shock_hard,0.0625,shock_hard,Iran-Israele (Giu 2025),Diesel
Welch_t_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Diesel
MannWhitney_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0,tau_price,Iran-Israele (Giu 2025),Diesel
BlockPerm_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.9628,tau_price,Iran-Israele (Giu 2025),Diesel
HAC_Iran-Israele (Giu 2025)_Diesel_tau_price,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_price,0.0422,tau_price,Iran-Israele (Giu 2025),Diesel
Welch_t_Iran-Israele (Giu 2025)_Diesel_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_margin,0.0,tau_margin,Iran-Israele (Giu 2025),Diesel
MannWhitney_Iran-Israele (Giu 2025)_Diesel_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_margin,0.0,tau_margin,Iran-Israele (Giu 2025),Diesel
BlockPerm_Iran-Israele (Giu 2025)_Diesel_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_margin,0.9696,tau_margin,Iran-Israele (Giu 2025),Diesel
HAC_Iran-Israele (Giu 2025)_Diesel_tau_margin,confirmatory,Iran-Israele (Giu 2025) | Diesel | split=tau_margin,0.0233,tau_margin,Iran-Israele (Giu 2025),Diesel
